Node_id,Node name,Skill tree ID,Branch,Excercise id,Previous Node_id,Difficulty,(Optional) weight setting
pushups_tuck_planche_push_up,Planche Push-Up (Tuck),pushups,planche,planche_push_up_tuck,pushups_pseudo_planche_push_up_hips,5,
pushups_advanced_tuck_planche_push_up,Planche Push-Up (Advanced Tuck),pushups,planche,planche_push_up_advanced_tuck,pushups_tuck_planche_push_up,5,
pushups_straddle_planche_push_up,Planche Push-Up (Straddle),pushups,planche,planche_push_up_straddle,pushups_advanced_tuck_planche_push_up,5,
pushups_planche_push_up,Planche Push-Up,pushups,planche,planche_push_up,pushups_straddle_planche_push_up,5,
planche_planche_lean_just_past,Planche Lean (Slight),planche,main,planche_lean,,3,
planche_planche_lean_moderate,Planche Lean (Moderate),planche,main,planche_lean,planche_planche_lean_just_past,3,
planche_planche_lean_far_past,Planche Lean (Deep),planche,main,planche_lean,planche_planche_lean_moderate,4,
planche_tuck_planche_lean,Planche Lean (Tuck),planche,main,planche_lean_tuck,planche_planche_lean_far_past,4,
planche_tuck_planche_hold,Planche (Tuck),planche,main,planche_tuck,planche_tuck_planche_lean,4,
planche_advanced_tuck_planche_hold,Planche (Advanced Tuck),planche,main,planche_advanced_tuck,planche_tuck_planche_hold,5,
planche_straddle_planche_wide,Straddle Planche (Wide),planche,main,planche_straddle,planche_advanced_tuck_planche_hold,5,
planche_straddle_planche_medium,Straddle Planche (Medium),planche,main,planche_straddle,planche_straddle_planche_wide,5,
planche_straddle_planche_narrow,Straddle Planche (Narrow),planche,main,planche_straddle,planche_straddle_planche_medium,5,
planche_full_planche_hold,Planche,planche,main,planche,planche_straddle_planche_narrow,5,
squat_assisted_squat,Squat (Assisted),squat,foundation,squat_assisted,,1,
squat_deep_assisted_squat,"Squat (Assisted, Deep)",squat,foundation,squat_assisted_deep,squat_assisted_squat,1,
squat_squat,Squat (Bodyweight),squat,foundation,squat_bodyweight,squat_deep_assisted_squat,1,
squat_deep_squat,Squat (Deep),squat,foundation,squat_deep,squat_squat,2,
squat_barbell_squat,Squat (Barbell),squat,weighted,squat_barbell,squat_deep_squat,2,"0kg, just the bar"
squat_barbell_plus_25,Barbell Squat (25% Bodyweight),squat,weighted,squat_barbell,squat_barbell_squat,3,user_bodyweight * 0.25
