Skill tree,Skill tree id,Branch name,Branch id,Step,Exercise,Exercise id,Difficulty,Previous node,Previous node id,Prerequisite ids,Shared foundation,Movement pattern,Measured in,Tree order
Rows,rows,Front Lever,front_lever,5,Horizontal Rows,rows_horizontal_rows,3,Feet-Elevated Row,rows_feet_elevated_rows,rows_feet_elevated_rows,yes,Horizontal Pull,reps,4
Rows,rows,Front Lever,front_lever,6,Wide Inverted Row,rows_horizontal_wide_rows,4,Horizontal Rows,rows_horizontal_rows,rows_horizontal_rows,yes,Horizontal Pull,reps,5
Rows,rows,Front Lever,front_lever,7,Tuck Front Lever,rows_tuck_front_lever_rows_hold,4,Wide Inverted Row,rows_horizontal_wide_rows,rows_horizontal_wide_rows,no,Horizontal Pull,seconds,6
Rows,rows,Front Lever,front_lever,8,Tuck FL Rows,rows_tuck_front_lever_rows,4,Tuck Front Lever,rows_tuck_front_lever_rows_hold,rows_tuck_front_lever_rows_hold,no,Horizontal Pull,reps,7
Rows,rows,Front Lever,front_lever,9,Advanced Tuck FL Rows,rows_advanced_tuck_front_lever_rows,4,Tuck FL Rows,rows_tuck_front_lever_rows,rows_tuck_front_lever_rows,no,Horizontal Pull,reps,8
Rows,rows,Front Lever,front_lever,10,One-Leg Front Lever Row,rows_one_leg_tuck_one_extended_front_lever_rows,5,Advanced Tuck FL Rows,rows_advanced_tuck_front_lever_rows,rows_advanced_tuck_front_lever_rows,no,Horizontal Pull,reps,9
Rows,rows,Front Lever,front_lever,11,Straddle FL Rows,rows_straddle_front_lever_rows,5,One-Leg Front Lever Row,rows_one_leg_tuck_one_extended_front_lever_rows,rows_one_leg_tuck_one_extended_front_lever_rows,no,Horizontal Pull,reps,10
Rows,rows,Front Lever,front_lever,12,Front Lever Row,rows_front_lever_rows,5,Straddle FL Rows,rows_straddle_front_lever_rows,rows_straddle_front_lever_rows,no,Horizontal Pull,reps,11
Rows,rows,One Arm,one_arm,1,Incline Row,rows_vertical_rows,1,,,,yes,Horizontal Pull,reps,0
Rows,rows,One Arm,one_arm,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,1,Incline Row,rows_vertical_rows,rows_vertical_rows,yes,Horizontal Pull,reps,1
Rows,rows,One Arm,one_arm,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,rows_inverted_rows_bent_legs,yes,Horizontal Pull,reps,2
Rows,rows,One Arm,one_arm,4,Feet-Elevated Row,rows_feet_elevated_rows,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,rows_inverted_rows_straight_legs,yes,Horizontal Pull,reps,3
Rows,rows,One Arm,one_arm,5,Horizontal Rows,rows_horizontal_rows,3,Feet-Elevated Row,rows_feet_elevated_rows,rows_feet_elevated_rows,yes,Horizontal Pull,reps,4
Rows,rows,One Arm,one_arm,6,Wide Inverted Row,rows_horizontal_wide_rows,4,Horizontal Rows,rows_horizontal_rows,rows_horizontal_rows,yes,Horizontal Pull,reps,5
Rows,rows,One Arm,one_arm,7,Archer Row,rows_archer_rows,4,Wide Inverted Row,rows_horizontal_wide_rows,rows_horizontal_wide_rows,no,Horizontal Pull,reps,6
Rows,rows,One Arm,one_arm,8,Bulgarian Rows,rows_bulgarian_rows,5,Archer Row,rows_archer_rows,rows_archer_rows,no,Horizontal Pull,reps,7
Rows,rows,One Arm,one_arm,9,One-Arm Row,rows_one_arm_rows,5,Bulgarian Rows,rows_bulgarian_rows,rows_bulgarian_rows,no,Horizontal Pull,reps,8
Rows,rows,Weighted,weighted,1,Incline Row,rows_vertical_rows,1,,,,yes,Horizontal Pull,reps,0
Rows,rows,Weighted,weighted,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,1,Incline Row,rows_vertical_rows,rows_vertical_rows,yes,Horizontal Pull,reps,1
Rows,rows,Weighted,weighted,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,rows_inverted_rows_bent_legs,yes,Horizontal Pull,reps,2
Rows,rows,Weighted,weighted,4,Feet-Elevated Row,rows_feet_elevated_rows,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,rows_inverted_rows_straight_legs,yes,Horizontal Pull,reps,3
Rows,rows,Weighted,weighted,5,Horizontal Rows,rows_horizontal_rows,3,Feet-Elevated Row,rows_feet_elevated_rows,rows_feet_elevated_rows,yes,Horizontal Pull,reps,4
Rows,rows,Weighted,weighted,6,Wide Inverted Row,rows_horizontal_wide_rows,4,Horizontal Rows,rows_horizontal_rows,rows_horizontal_rows,yes,Horizontal Pull,reps,5
Rows,rows,Weighted,weighted,7,Bodyweight (3x10),rows_weighted_rows_bodyweight_3x10,4,Wide Inverted Row,rows_horizontal_wide_rows,rows_horizontal_wide_rows,no,Horizontal Pull,reps,6
Rows,rows,Weighted,weighted,8,+10% Bodyweight,rows_weighted_rows_plus_10,4,Bodyweight (3x10),rows_weighted_rows_bodyweight_3x10,rows_weighted_rows_bodyweight_3x10,no,Horizontal Pull,reps,7
Rows,rows,Weighted,weighted,9,+20% Bodyweight,rows_weighted_rows_plus_20,4,+10% Bodyweight,rows_weighted_rows_plus_10,rows_weighted_rows_plus_10,no,Horizontal Pull,reps,8
Rows,rows,Weighted,weighted,10,+35% Bodyweight,rows_weighted_rows_plus_35,5,+20% Bodyweight,rows_weighted_rows_plus_20,rows_weighted_rows_plus_20,no,Horizontal Pull,reps,9
